ram0,ram1,ram2,ram3,ram4,ram5,ram6,ram7,ram8,ram9,ram10,ram11,ram12,ram13,ram14,ram15,ram16,ram17,ram18,ram19,ram20,ram21,ram22,ram23,ram24,ram25,ram26,ram27,ram28,ram29,ram30,ram31,ram32,ram33,ram34,ram35,ram36,ram37,ram38,ram39,ram40,ram41,ram42,ram43,ram44,ram45,ram46,ram47,ram48,ram49,ram50,ram51,ram52,ram53,ram54,ram55,ram56,ram57,ram58,ram59,ram60,ram61,ram62,ram63,ram64,ram65,ram66,ram67,ram68,ram69,ram70,ram71,ram72,ram73,ram74,ram75,ram76,ram77,ram78,ram79,ram80,ram81,ram82,ram83,ram84,ram85,ram86,ram87,ram88,ram89,ram90,ram91,ram92,ram93,ram94,ram95,ram96,ram97,ram98,ram99,ram100,ram101,ram102,ram103,ram104,ram105,ram106,ram107,ram108,ram109,ram110,ram111,ram112,ram113,ram114,ram115,ram116,ram117,ram118,ram119,ram120,ram121,ram122,ram123,ram124,ram125,ram126,ram127,action
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,245,2,44,0,2,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,73,0,51,0,30,0,30,89,149,135,89,0,0,0,0,255,174,31,0,0,255,44,86,76,85,58,22,1,150,0,154,0,100,31,100,31,100,31,100,31,100,31,128,31,255,1,128,4,0,3,0,0,255,3,3,0,0,0,140,0,245,0,0,36,28,135,19,PLAYER_A_NOOP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,245,2,44,0,3,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,8,0,74,0,51,0,30,0,30,89,149,134,89,0,0,0,0,255,174,31,0,0,255,44,86,76,171,58,22,1,150,0,154,0,100,31,100,31,100,31,100,31,100,31,128,31,255,1,128,4,0,3,0,0,255,3,3,0,0,0,140,0,245,0,0,36,28,135,19,PLAYER_A_NOOP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,245,2,44,0,4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7,0,75,0,51,0,30,0,30,90,149,134,90,0,0,0,0,255,174,31,0,0,255,44,86,76,87,58,22,1,150,0,154,0,100,31,100,31,100,31,100,31,100,31,128,31,255,1,128,4,0,3,0,0,255,3,3,0,0,0,140,0,245,0,0,36,28,135,19,PLAYER_A_NOOP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,245,2,44,0,5,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,6,0,76,0,51,0,30,0,30,90,149,134,90,0,0,0,0,255,174,31,0,0,255,44,86,76,175,58,22,1,150,0,154,0,100,31,100,31,100,31,100,31,100,31,128,31,255,1,128,4,0,3,0,0,255,3,3,0,0,0,140,0,245,0,0,36,28,135,19,PLAYER_A_NOOP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,245,2,44,0,6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,5,0,77,0,51,0,30,0,30,90,148,134,90,0,0,0,0,255,174,31,0,0,255,44,86,76,95,58,22,1,150,0,154,0,100,31,100,31,100,31,100,31,100,31,128,31,255,1,128,4,0,3,0,0,255,3,3,0,0,0,140,0,245,0,0,36,28,135,19,PLAYER_A_NOOP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,21,245,2,44,0,7,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,4,0,78,0,51,0,30,0,30,90,148,133,90,0,0,0,0,255,174,31,0,0,255,44,86,76,191,58,22,1,150,0,154,0,100,31,100,31,100,31,100,31,100,31,128,31,255,1,128,4,0,3,0,0,255,3,3,0,0,0,140,0,245,0,0,36,28,135,19,PLAYER_A_NOOP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,24,245,2,44,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,3,0,79,0,51,0,30,0,30,89,148,133,89,0,0,0,0,255,174,31,0,0,255,44,86,76,127,58,22,1,150,0,154,0,100,31,100,31,100,31,100,31,100,31,128,31,255,1,128,4,0,3,0,0,255,3,3,0,0,0,140,0,245,0,0,36,28,135,19,PLAYER_A_NOOP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,27,245,2,44,0,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,2,0,80,0,51,0,30,0,30,89,148,133,89,0,0,0,0,255,174,31,0,0,255,44,86,76,254,58,22,1,150,0,154,0,100,31,100,31,100,31,100,31,100,31,128,31,255,1,128,4,0,3,0,0,255,3,3,0,0,0,140,0,245,0,0,36,28,135,19,PLAYER_A_NOOP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,30,245,2,44,0,2,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,1,0,81,0,51,0,30,0,30,89,147,133,89,0,0,0,0,255,174,31,0,0,255,44,86,76,252,58,22,1,150,0,154,0,100,31,100,31,100,31,100,31,100,31,128,31,255,1,128,4,0,3,0,0,255,3,3,0,0,0,140,0,245,0,0,36,28,135,19,PLAYER_A_NOOP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,5,0,0,169,0,33,245,2,44,0,3,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,67,2,0,0,1,0,0,0,0,0,32,0,82,0,51,0,30,0,30,89,147,132,89,0,0,0,0,255,174,31,0,0,255,44,86,76,248,68,12,0,68,0,12,64,100,31,100,31,100,31,100,31,100,31,128,31,255,1,128,4,0,3,0,0,255,3,3,0,0,0,140,0,245,0,0,36,28,135,19,PLAYER_A_NOOP
