Value_A,Value_B,AND_Gate,OR_Gate,NAND_Gate,NOR_Gate
0,0,zero,zero,one,one
1,1,one,one,zero,zero
0,2,invalid,invalid,invalid,invalid
1,1,one,one,zero,zero
1,0,zero,one,one,zero
0,-1,invalid,invalid,invalid,invalid
0,1,zero,one,one,zero
0,0,zero,zero,one,one
0,3,invalid,invalid,invalid,invalid
2,1,invalid,invalid,invalid,invalid
1,1,one,one,zero,zero
1,0,zero,one,one,zero
1,1,one,one,zero,zero
0,0,zero,zero,one,one
1,-1,invalid,invalid,invalid,invalid
1,0,zero,one,one,zero
1,0,zero,invalid,one,zero
1,1,one,one,zero,zero
1,0,zero,one,one,zero
1,-1,invalid,invalid,invalid,invalid
0,1,zero,one,one,zero
0,0,zero,zero,one,one
1,0,zero,one,one,zero
0,1,zero,one,one,zero
1,1,one,one,zero,zero
1,0,zero,one,one,zero
1,1,one,one,zero,zero
0,0,zero,zero,one,one
1,-1,invalid,invalid,invalid,invalid
1,0,zero,one,one,zero
2,0,invalid,invalid,invalid,invalid
0,0,zero,zero,one,one
1,1,one,one,zero,zero
1,0,zero,one,one,zero
1,1,one,one,zero,zero
0,1,zero,one,one,zero
0,-1,invalid,invalid,invalid,invalid
0,1,zero,one,one,zero
0,0,zero,zero,one,one
1,0,zero,one,one,zero
0,1,zero,one,one,zero
0,0,zero,zero,one,one
0,2,invalid,invalid,invalid,invalid
2,1,invalid,invalid,invalid,invalid
1,1,one,one,zero,zero
1,0,zero,one,one,zero
1,1,one,one,zero,zero
0,0,zero,zero,one,one
1,0,zero,one,one,zero
1,0,zero,one,one,zero
3,0,invalid,invalid,invalid,invalid
0,0,zero,zero,one,one
1,0,zero,one,one,zero
1,0,zero,one,one,zero
3,0,invalid,invalid,invalid,invalid
0,0,zero,zero,one,one
1,1,one,one,zero,zero
0,2,invalid,invalid,invalid,invalid
1,1,one,one,zero,zero
1,0,zero,one,one,zero
1,0,zero,one,one,zero
0,1,zero,one,one,zero
1,0,zero,one,one,zero
0,-1,invalid,invalid,invalid,invalid
0,1,zero,one,one,zero
0,0,zero,zero,one,one
1,0,zero,one,one,zero
1,0,zero,one,one,zero
1,1,one,one,zero,zero
1,0,zero,one,one,zero
1,1,one,one,zero,zero
0,0,zero,zero,one,one
1,-1,invalid,invalid,invalid,invalid
1,0,zero,one,one,zero
1,1,one,one,zero,zero
0,0,zero,zero,one,one
1,0,zero,one,one,zero
1,0,zero,one,one,zero
2,0,invalid,invalid,invalid,invalid
0,0,zero,zero,one,one
1,-1,invalid,invalid,invalid,invalid
1,0,zero,one,one,zero
1,0,zero,one,one,zero
0,0,zero,zero,one,one
0,-1,invalid,invalid,invalid,invalid
0,1,zero,one,one,zero
0,0,zero,zero,one,one
1,0,zero,one,one,zero
-1,1,invalid,invalid,invalid,invalid
1,1,one,one,zero,zero
1,0,zero,one,one,zero
1,1,one,one,zero,zero
0,0,zero,zero,one,one
1,-1,invalid,invalid,invalid,invalid
1,0,zero,one,one,zero
1,0,zero,one,one,zero
0,0,zero,zero,one,one
1,1,one,one,zero,zero
5,2,invalid,invalid,invalid,invalid
1,1,one,one,zero,zero
1,0,zero,one,one,zero
0,-1,invalid,invalid,invalid,invalid
0,1,zero,one,one,zero
1,-1,invalid,invalid,invalid,invalid
0,1,zero,one,one,zero
1,0,zero,one,one,zero
0,-1,invalid,invalid,invalid,invalid
0,1,zero,one,one,zero
0,0,zero,zero,one,one
1,0,zero,one,one,zero
1,0,zero,one,one,zero
1,1,one,one,zero,zero
1,0,zero,one,one,zero
1,1,one,one,zero,zero
0,0,zero,zero,one,one
1,0,zero,one,one,zero
1,0,zero,one,one,zero
0,1,zero,one,one,zero
1,0,zero,one,one,zero
0,-1,invalid,invalid,invalid,invalid
0,1,zero,one,one,zero
0,0,zero,zero,one,one
1,0,zero,one,one,zero
-1,1,invalid,invalid,invalid,invalid
1,1,one,one,zero,zero
1,0,zero,one,one,zero
1,1,one,one,zero,zero
0,0,zero,zero,one,one
0,-1,invalid,invalid,invalid,invalid
1,0,zero,one,one,zero
0,-1,invalid,invalid,invalid,invalid
0,1,zero,one,one,zero
1,0,zero,one,one,zero
0,1,zero,one,one,zero
1,0,zero,one,one,zero
0,-1,invalid,invalid,invalid,invalid
0,1,zero,one,one,zero
0,0,zero,zero,one,one
1,0,zero,one,one,zero
1,0,zero,one,one,zero
1,1,one,one,zero,zero
1,0,zero,one,one,zero
1,1,one,one,zero,zero
0,0,zero,zero,one,one
1,0,zero,one,one,zero
1,0,zero,one,one,zero
0,1,zero,one,one,zero
1,0,zero,one,one,zero
2,-1,invalid,invalid,invalid,invalid
0,1,zero,one,one,zero
